Provinsi,2009_laki-laki,2009_perempuan,2009_jumlah,2010_laki-laki,2010_perempuan,2010_jumlah,2011_laki-laki,2011_perempuan,2011_jumlah,2012_laki-laki,2012_perempuan,2012_jumlah,2013_laki-laki,2013_perempuan,2013_jumlah,2014_laki-laki,2014_perempuan,2014_jumlah,2015_laki-laki,2015_perempuan,2015_jumlah,2016_laki-laki,2016_perempuan,2016_jumlah,2017_laki-laki,2017_perempuan,2017_jumlah,2018_laki-laki,2018_perempuan,2018_jumlah,2019_laki-laki,2019_perempuan,2019_jumlah,2020_laki-laki,2020_perempuan,2020_jumlah,2021_laki-laki,2021_perempuan,2021_jumlah,2022_laki-laki,2022_perempuan,2022_jumlah,2023_laki-laki,2023_perempuan,2023_jumlah,2024_laki-laki,2024_perempuan,2024_jumlah
DKI Jakarta,84.84,15.16,100.00,84.61,15.39,100.00,83.44,16.56,100.00,84.66,15.34,100.00,83.78,16.22,100.00,84.82,15.18,100.00,84.54,15.46,100.00,84.05,15.95,100.00,83.46,16.54,100.00,83.08,16.92,100.00,82.56,17.44,100.00,82.99,17.01,100.00,82.74,17.26,100.00,84.53,15.47,100.00,86.45,13.55,100.00,86.41,13.59,100.00
Jawa Barat,87.14,12.86,100.00,87.09,12.91,100.00,88.28,11.72,100.00,86.27,13.73,100.00,86.27,13.73,100.00,86.41,13.59,100.00,86.03,13.97,100.00,85.08,14.92,100.00,85.91,14.09,100.00,86.38,13.62,100.00,82.43,17.57,100.00,82.26,17.74,100.00,83.19,16.81,100.00,87.36,12.64,100.00,89.57,10.43,100.00,90.03,9.97,100.00
Jawa Tengah,86.20,13.80,100.00,86.74,13.26,100.00,85.80,14.20,100.00,85.33,14.67,100.00,85.15,14.85,100.00,85.31,14.69,100.00,85.13,14.87,100.00,84.48,15.52,100.00,84.32,15.68,100.00,84.65,15.35,100.00,83.02,16.98,100.00,82.13,17.87,100.00,84.66,15.34,100.00,88.58,11.42,100.00,86.05,13.95,100.00,86.78,13.22,100.00
DI Yogyakarta,85.23,14.77,100.00,84.89,15.11,100.00,86.44,13.56,100.00,84.40,15.60,100.00,85.18,14.82,100.00,84.67,15.33,100.00,84.75,15.25,100.00,82.76,17.24,100.00,85.34,14.66,100.00,84.44,15.56,100.00,85.10,14.90,100.00,82.83,17.17,100.00,86.18,13.82,100.00,87.03,12.97,100.00,85.47,14.53,100.00,85.96,14.04,100.00
Jawa Timur,83.82,16.18,100.00,84.29,15.71,100.00,83.15,16.85,100.00,83.04,16.96,100.00,82.41,17.59,100.00,82.80,17.20,100.00,82.99,17.01,100.00,82.33,17.67,100.00,82.23,17.77,100.00,82.51,17.49,100.00,81.48,18.52,100.00,80.71,19.29,100.00,83.19,16.81,100.00,86.55,13.45,100.00,85.63,14.37,100.00,85.56,14.44,100.00
Banten,87.51,12.49,100.00,85.66,14.34,100.00,87.13,12.87,100.00,87.01,12.99,100.00,86.42,13.58,100.00,87.58,12.42,100.00,87.15,12.85,100.00,85.77,14.23,100.00,86.33,13.67,100.00,85.45,14.55,100.00,84.70,15.30,100.00,84.56,15.44,100.00,84.44,15.56,100.00,87.05,12.95,100.00,87.69,12.31,100.00,90.12,9.88,100.00
B a l i,92.94,7.06,100.00,92.81,7.19,100.00,91.66,8.34,100.00,91.73,8.27,100.00,91.45,8.55,100.00,90.53,9.47,100.00,90.74,9.26,100.00,90.63,9.37,100.00,90.87,9.13,100.00,91.01,8.99,100.00,89.22,10.78,100.00,88.76,11.24,100.00,91.07,8.93,100.00,92.40,7.60,100.00,88.01,11.99,100.00,90.43,9.57,100.00
Nusa Tenggara Barat,78.49,21.51,100.00,78.06,21.94,100.00,78.98,21.02,100.00,79.03,20.97,100.00,78.60,21.40,100.00,78.76,21.24,100.00,80.82,19.18,100.00,79.37,20.63,100.00,78.77,21.23,100.00,78.09,21.91,100.00,77.74,22.26,100.00,76.99,23.01,100.00,80.86,19.14,100.00,85.31,14.69,100.00,84.11,15.89,100.00,85.93,14.07,100.00
Nusa Tenggara Timur,85.96,14.04,100.00,84.45,15.55,100.00,82.94,17.06,100.00,83.14,16.86,100.00,82.81,17.19,100.00,83.34,16.66,100.00,82.99,17.01,100.00,82.86,17.14,100.00,82.78,17.22,100.00,82.14,17.86,100.00,81.57,18.43,100.00,81.81,18.19,100.00,84.02,15.98,100.00,86.38,13.62,100.00,87.12,12.88,100.00,86.03,13.97,100.00
Kalimantan Barat,90.39,9.61,100.00,90.05,9.95,100.00,88.66,11.34,100.00,89.71,10.29,100.00,89.29,10.71,100.00,89.70,10.30,100.00,89.93,10.07,100.00,89.27,10.73,100.00,89.86,10.14,100.00,89.49,10.51,100.00,88.74,11.26,100.00,87.89,12.11,100.00,89.03,10.97,100.00,90.35,9.65,100.00,90.45,9.55,100.00,92.50,7.50,100.00
Kalimantan Tengah,90.86,9.14,100.00,90.62,9.38,100.00,91.18,8.82,100.00,90.98,9.02,100.00,90.95,9.05,100.00,91.56,8.44,100.00,91.02,8.98,100.00,91.37,8.63,100.00,90.49,9.51,100.00,91.57,8.43,100.00,89.76,10.24,100.00,90.32,9.68,100.00,91.11,8.89,100.00,92.31,7.69,100.00,94.02,5.98,100.00,95.39,4.61,100.00
Kalimantan Selatan,85.56,14.44,100.00,86.80,13.20,100.00,85.66,14.34,100.00,86.15,13.85,100.00,85.84,14.16,100.00,85.47,14.53,100.00,86.01,13.99,100.00,86.67,13.33,100.00,85.29,14.71,100.00,85.08,14.92,100.00,84.07,15.93,100.00,84.21,15.79,100.00,84.48,15.52,100.00,86.74,13.26,100.00,88.64,11.36,100.00,87.64,12.36,100.00
Kalimantan Timur,92.22,7.78,100.00,92.25,7.75,100.00,91.70,8.30,100.00,92.79,7.21,100.00,90.82,9.18,100.00,90.20,9.80,100.00,91.44,8.56,100.00,91.09,8.91,100.00,90.43,9.57,100.00,90.56,9.44,100.00,88.76,11.24,100.00,89.43,10.57,100.00,89.56,10.44,100.00,92.35,7.65,100.00,93.29,6.71,100.00,93.92,6.08,100.00
Kalimantan Utara,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,91.25,8.75,100.00,91.64,8.36,100.00,92.33,7.67,100.00,92.52,7.48,100.00,93.84,6.16,100.00,90.50,9.50,100.00,88.03,11.97,100.00,92.90,7.10,100.00,93.75,6.25,100.00,93.72,6.28,100.00
Sulawesi Utara,90.02,9.98,100.00,90.93,9.07,100.00,90.06,9.94,100.00,89.70,10.30,100.00,89.05,10.95,100.00,88.66,11.34,100.00,89.61,10.39,100.00,89.56,10.44,100.00,87.95,12.05,100.00,89.14,10.86,100.00,87.24,12.76,100.00,87.38,12.62,100.00,87.27,12.73,100.00,90.64,9.36,100.00,90.92,9.08,100.00,92.27,7.73,100.00
Sulawesi Tengah,90.57,9.43,100.00,90.53,9.47,100.00,90.35,9.65,100.00,89.96,10.04,100.00,89.66,10.34,100.00,90.01,9.99,100.00,90.40,9.60,100.00,88.71,11.29,100.00,89.64,10.36,100.00,89.09,10.91,100.00,88.65,11.35,100.00,87.64,12.36,100.00,88.53,11.47,100.00,90.76,9.24,100.00,91.96,8.04,100.00,92.23,7.77,100.00
Sulawesi Selatan,82.44,17.56,100.00,82.64,17.36,100.00,83.31,16.69,100.00,81.97,18.03,100.00,82.15,17.85,100.00,81.84,18.16,100.00,81.56,18.44,100.00,81.00,19.00,100.00,81.26,18.74,100.00,80.54,19.46,100.00,80.37,19.63,100.00,79.53,20.47,100.00,81.80,18.20,100.00,84.66,15.34,100.00,85.85,14.15,100.00,87.18,12.82,100.00
Sulawesi Tenggara,83.45,16.55,100.00,85.97,14.03,100.00,85.58,14.42,100.00,85.56,14.44,100.00,84.33,15.67,100.00,84.80,15.20,100.00,85.60,14.40,100.00,84.60,15.40,100.00,85.57,14.43,100.00,85.15,14.85,100.00,84.14,15.86,100.00,83.18,16.82,100.00,84.88,15.12,100.00,87.65,12.35,100.00,87.61,12.39,100.00,88.29,11.71,100.00
Gorontalo,91.20,8.80,100.00,89.90,10.10,100.00,90.24,9.76,100.00,90.47,9.53,100.00,88.65,11.35,100.00,90.67,9.33,100.00,89.90,10.10,100.00,89.71,10.29,100.00,89.94,10.06,100.00,88.48,11.52,100.00,86.76,13.24,100.00,86.93,13.07,100.00,88.12,11.88,100.00,90.60,9.40,100.00,92.03,7.97,100.00,92.43,7.57,100.00
Sulawesi Barat,87.90,12.10,100.00,86.48,13.52,100.00,86.16,13.84,100.00,86.77,13.23,100.00,87.02,12.98,100.00,86.17,13.83,100.00,86.13,13.87,100.00,87.16,12.84,100.00,86.79,13.21,100.00,88.23,11.77,100.00,86.52,13.48,100.00,85.42,14.58,100.00,86.87,13.13,100.00,88.09,11.91,100.00,88.94,11.06,100.00,89.12,10.88,100.00
Maluku,89.08,10.92,100.00,88.03,11.97,100.00,90.17,9.83,100.00,87.85,12.15,100.00,88.32,11.68,100.00,87.87,12.13,100.00,87.30,12.70,100.00,88.19,11.81,100.00,87.57,12.43,100.00,87.55,12.45,100.00,87.45,12.55,100.00,85.30,14.70,100.00,88.78,11.22,100.00,90.00,10.00,100.00,90.19,9.81,100.00,92.29,7.71,100.00
Maluku Utara,92.16,7.84,100.00,91.13,8.87,100.00,91.16,8.84,100.00,90.45,9.55,100.00,90.53,9.47,100.00,90.61,9.39,100.00,90.93,9.07,100.00,90.94,9.06,100.00,90.15,9.85,100.00,90.12,9.88,100.00,89.57,10.43,100.00,88.95,11.05,100.00,90.18,9.82,100.00,91.78,8.22,100.00,92.79,7.21,100.00,94.01,5.99,100.00
Papua Barat,92.10,7.90,100.00,90.46,9.54,100.00,89.10,10.90,100.00,91.79,8.21,100.00,90.07,9.93,100.00,90.11,9.89,100.00,92.28,7.72,100.00,91.17,8.83,100.00,90.81,9.19,100.00,89.87,10.13,100.00,90.04,9.96,100.00,89.96,10.04,100.00,90.46,9.54,100.00,90.45,9.55,100.00,88.65,11.35,100.00,91.55,8.45,100.00
Papua Barat Daya,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,80.0,20.0,100.00,70.0,30.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,92.19,7.81,100.00
Papua,92.38,7.62,100.00,93.18,6.82,100.00,92.44,7.56,100.00,92.88,7.12,100.00,92.84,7.16,100.00,92.84,7.16,100.00,91.98,8.02,100.00,92.20,7.80,100.00,91.95,8.05,100.00,91.37,8.63,100.00,91.57,8.43,100.00,91.64,8.36,100.00,90.76,9.24,100.00,92.60,7.40,100.00,89.49,10.51,100.00,91.68,8.32,100.00
Papua Selatan,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,80.0,20.0,100.00,70.0,30.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.34,9.66,100.00
Papua Tengah,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,80.0,20.0,100.00,70.0,30.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,92.53,7.47,100.00
Papua Pegunungan,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,80.0,20.0,100.00,70.0,30.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,90.0,10.0,100.00,95.35,4.65,100.00
INDONESIA,86.51,13.49,100.00,86.56,13.44,100.00,86.40,13.60,100.00,86.00,14.00,100.00,85.70,14.30,100.00,85.85,14.15,100.00,85.96,14.04,100.00,85.40,14.60,100.00,85.51,14.49,100.00,85.52,14.48,100.00,84.26,15.74,100.00,83.69,16.31,100.00,85.32,14.68,100.00,88.17,11.83,100.00,88.16,11.84,100.00,88.78,11.22,100.00
